Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-04-01,NVDA,BUY,18,26.67219352722168,16034.076454162598,"{'AMZN': 9, 'NVDA': 54, 'V': 4, 'TSLA': 1}",20173.882961273193
2022-04-01,TSLA,BUY,1,361.5299987792969,15672.5464553833,"{'AMZN': 9, 'NVDA': 54, 'V': 4, 'TSLA': 2}",20176.21294784546
2022-04-01,V,SELL,4,221.55967712402344,16558.785163879395,"{'AMZN': 9, 'NVDA': 54, 'TSLA': 2}",20194.183589935303
2022-04-04,AMZN,SELL,9,168.34649658203125,18073.903633117676,"{'NVDA': 54, 'TSLA': 2}",20237.26208114624
2022-04-04,BRK-B,BUY,1,345.42999267578125,17728.473640441895,"{'NVDA': 54, 'TSLA': 2, 'BRK-B': 1}",20237.26208114624
2022-04-04,JNJ,BUY,3,162.80499267578125,17240.05866241455,"{'NVDA': 54, 'TSLA': 2, 'BRK-B': 1, 'JNJ': 3}",20237.26208114624
2022-04-04,NVDA,SELL,54,27.31922721862793,18715.29693222046,"{'TSLA': 2, 'BRK-B': 1, 'JNJ': 3}",20272.201900482178
2022-04-04,TSLA,SELL,2,381.8166809082031,19478.930294036865,"{'BRK-B': 1, 'JNJ': 3}",20312.77526473999
2022-04-05,AAPL,BUY,2,172.26864624023438,19134.393001556396,"{'BRK-B': 1, 'JNJ': 3, 'AAPL': 2}",20312.77526473999
2022-04-05,AMZN,BUY,3,164.05499267578125,18642.228023529053,"{'BRK-B': 1, 'JNJ': 3, 'AAPL': 2, 'AMZN': 3}",20312.77526473999
2022-04-05,BRK-B,BUY,1,344.79998779296875,18297.428035736084,"{'BRK-B': 2, 'JNJ': 3, 'AAPL': 2, 'AMZN': 3}",20312.145259857178
2022-04-05,GOOGL,BUY,3,140.08319091796875,17877.178462982178,"{'BRK-B': 2, 'JNJ': 3, 'AAPL': 2, 'AMZN': 3, 'GOOGL': 3}",20312.145259857178
2022-04-05,JNJ,SELL,3,163.8567352294922,18368.748668670654,"{'BRK-B': 2, 'AAPL': 2, 'AMZN': 3, 'GOOGL': 3}",20315.30048751831
2022-04-05,MSFT,BUY,1,303.647705078125,18065.10096359253,"{'BRK-B': 2, 'AAPL': 2, 'AMZN': 3, 'GOOGL': 3, 'MSFT': 1}",20315.30048751831
2022-04-05,NVDA,BUY,19,25.892353057861328,17573.146255493164,"{'BRK-B': 2, 'AAPL': 2, 'AMZN': 3, 'GOOGL': 3, 'MSFT': 1, 'NVDA': 19}",20315.30048751831
2022-04-06,AAPL,BUY,2,169.09014892578125,17234.9659576416,"{'BRK-B': 2, 'AAPL': 4, 'AMZN': 3, 'GOOGL': 3, 'MSFT': 1, 'NVDA': 19}",20308.943492889404
2022-04-06,AMZN,BUY,3,158.75599670410156,16758.697967529297,"{'BRK-B': 2, 'AAPL': 4, 'AMZN': 6, 'GOOGL': 3, 'MSFT': 1, 'NVDA': 19}",20293.046504974365
2022-04-06,BRK-B,BUY,1,344.7099914550781,16413.98797607422,"{'BRK-B': 3, 'AAPL': 4, 'AMZN': 6, 'GOOGL': 3, 'MSFT': 1, 'NVDA': 19}",20292.866512298584
2022-04-06,GOOGL,BUY,3,136.05479431152344,16005.823593139648,"{'BRK-B': 3, 'AAPL': 4, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 1, 'NVDA': 19}",20280.781322479248
2022-04-06,META,BUY,2,222.4502410888672,15560.923110961914,"{'BRK-B': 3, 'AAPL': 4, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 1, 'NVDA': 19, 'META': 2}",20280.781322479248
2022-04-06,MSFT,BUY,1,292.53240966796875,15268.390701293945,"{'BRK-B': 3, 'AAPL': 4, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 2, 'NVDA': 19, 'META': 2}",20269.66602706909
2022-04-06,NVDA,BUY,20,24.370630264282227,14780.9780960083,"{'BRK-B': 3, 'AAPL': 4, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 2, 'NVDA': 39, 'META': 2}",20240.75329399109
2022-04-06,TSLA,BUY,1,348.586669921875,14432.391426086426,"{'BRK-B': 3, 'AAPL': 4, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 2, 'NVDA': 39, 'META': 2, 'TSLA': 1}",20240.75329399109
2022-04-06,V,BUY,2,214.36553955078125,14003.660346984863,"{'BRK-B': 3, 'AAPL': 4, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 2, 'NVDA': 39, 'META': 2, 'TSLA': 1, 'V': 2}",20240.75329399109
2022-04-07,AAPL,SELL,4,169.39520263671875,14681.241157531738,"{'BRK-B': 3, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 2, 'NVDA': 39, 'META': 2, 'TSLA': 1, 'V': 2}",20241.97350883484
2022-04-07,AMZN,BUY,3,157.7845001220703,14207.887657165527,"{'BRK-B': 3, 'AMZN': 9, 'GOOGL': 6, 'MSFT': 2, 'NVDA': 39, 'META': 2, 'TSLA': 1, 'V': 2}",20236.14452934265
2022-04-07,BRK-B,SELL,3,346.510009765625,15247.417686462402,"{'AMZN': 9, 'GOOGL': 6, 'MSFT': 2, 'NVDA': 39, 'META': 2, 'TSLA': 1, 'V': 2}",20241.544584274292
2022-04-07,GOOGL,BUY,3,135.3976593017578,14841.224708557129,"{'AMZN': 9, 'GOOGL': 9, 'MSFT': 2, 'NVDA': 39, 'META': 2, 'TSLA': 1, 'V': 2}",20237.6017742157
2022-04-07,META,SELL,2,222.10157775878903,15285.427864074707,"{'AMZN': 9, 'GOOGL': 9, 'MSFT': 2, 'NVDA': 39, 'TSLA': 1, 'V': 2}",20236.904447555542
2022-04-07,MSFT,SELL,2,294.35888671875,15874.145637512207,"{'AMZN': 9, 'GOOGL': 9, 'NVDA': 39, 'TSLA': 1, 'V': 2}",20240.557401657104
2022-04-07,NVDA,BUY,20,24.17192649841309,15390.707107543945,"{'AMZN': 9, 'GOOGL': 9, 'NVDA': 59, 'TSLA': 1, 'V': 2}",20232.807954788208
2022-04-07,TSLA,SELL,1,352.4200134277344,15743.12712097168,"{'AMZN': 9, 'GOOGL': 9, 'NVDA': 59, 'V': 2}",20236.641298294067
2022-04-07,V,BUY,2,211.5662078857422,15319.994705200195,"{'AMZN': 9, 'GOOGL': 9, 'NVDA': 59, 'V': 4}",20231.04263496399
